user_id,referred_by_user_id,date,state,product_category,customer_segment,sales_channel,purchase_amount,time_on_site,items_viewed
3938,1873.0,2022-07-21,MI,Clothing,Low,Retail,52.33776290204243,40.02512028599444,12
4687,4754.0,2021-07-28,FL,Home,Low,Retail,56.3594889387544,36.442900507478434,28
3769,3660.0,2020-05-04,AK,Sports,High,Retail,56.975620215376566,12.204534561247865,1
4881,2994.0,2022-10-21,MS,Electronics,Medium,Online,63.7846947233657,44.14068389262624,32
3910,781.0,2020-05-10,WY,Sports,Low,Online,40.45102681116027,11.123289261380748,15
790,780.0,2022-12-07,RI,Sports,Low,Online,21.70014828765648,21.20302741698376,1
2790,291.0,2021-03-20,MO,Electronics,High,Online,52.188365239300445,25.50856980981003,1
4142,4331.0,2021-01-01,NE,Sports,Low,Retail,27.04441850583803,44.65864399623419,18
198,3006.0,2021-05-11,NV,Electronics,Low,Phone,62.222756611174674,35.77257353691864,16
2529,3541.0,2022-04-09,VT,Sports,Low,Phone,51.50212079591921,36.99328182552247,8
1471,103.0,2022-10-29,DE,Electronics,High,Retail,66.5066760594566,25.43139720872056,13
4326,4850.0,2022-07-06,KS,Sports,High,Phone,50.99999834992781,28.30749900730473,19
126,4163.0,2020-06-30,NC,Home,Medium,Retail,52.052686149889794,13.252369321534609,15
3844,1062.0,2022-04-25,NC,Sports,Medium,Retail,45.09064331837181,19.46046477906709,12
3144,910.0,2021-01-10,TX,Electronics,Medium,Online,64.54270854604414,23.3282827362104,1
824,918.0,2021-08-18,TX,Sports,Medium,Online,53.63778388141913,34.101583721790014,6
732,1522.0,2020-10-03,ND,Clothing,Low,Online,47.47139740613041,33.12521682151555,5
2987,2624.0,2022-10-12,MN,Sports,Low,Online,23.90174695537879,19.44636514842829,10
3028,2160.0,2020-02-28,MI,Home,High,Phone,48.19060252125539,42.33283669560642,4
1395,1457.0,2020-09-13,ND,Sports,Medium,Phone,45.82590801653893,26.46001813142621,22
1528,3060.0,2020-10-13,WY,Clothing,Low,Online,54.79051134086581,33.27831816508793,25
307,698.0,2020-10-11,NM,Home,Low,Retail,63.71893385094321,32.531392174879755,29
154,1461.0,2020-11-26,MN,Sports,Medium,Retail,53.51901232013408,42.32464956553044,6
4467,1832.0,2021-09-14,MO,Home,Medium,Retail,52.13052630626707,16.69017545156281,17
4958,2281.0,2020-05-01,ME,Home,Low,Retail,20.491520954852337,16.50937060040745,1
4246,3926.0,2021-12-03,OK,Home,Medium,Retail,57.9057807170352,32.953011252129585,17
4659,999.0,2020-09-05,LA,Sports,Medium,Phone,52.06330811049384,33.82144782168805,1
4213,2572.0,2020-09-04,DE,Clothing,Medium,Phone,51.15894031393684,28.44045927583388,14
2772,2963.0,2022-02-28,WI,Clothing,Low,Phone,46.28936324623013,10.34701823268274,4
1550,233.0,2022-12-19,LA,Clothing,Low,Online,38.74570829742477,52.6064957053094,9
4556,3038.0,2020-12-01,TX,Clothing,Medium,Phone,72.85582949685741,49.27144852595817,15
1,853.0,2022-08-17,KY,Home,High,Phone,54.64654225179756,30.92813893046737,16
875,326.0,2022-01-02,TN,Clothing,High,Phone,51.03575852604185,17.521470138566333,5
23,4745.0,2020-12-05,NY,Sports,High,Retail,52.17778744841337,32.13853017992969,3
4246,4829.0,2020-04-17,MD,Clothing,Medium,Phone,29.997679684374354,33.10036523487702,12
3249,4042.0,2021-08-06,LA,Sports,Medium,Phone,58.58801972981401,43.2664502418897,5
1469,1524.0,2020-11-04,AR,Home,Low,Retail,39.259255817798014,33.5368746461782,4
2724,489.0,2022-11-20,NE,Home,Low,Online,51.70589476950634,13.370991712414453,1
4953,3422.0,2022-01-19,HI,Clothing,Low,Phone,43.66155633529242,33.34372758600591,18
2336,2201.0,2021-09-25,MD,Home,Low,Phone,56.05342698312008,35.600483957812315,8
2967,611.0,2022-06-04,AL,Sports,Low,Phone,36.102920577269,36.49623532271432,1
723,2476.0,2022-03-01,NC,Home,Medium,Retail,25.40805608319552,13.441923485095558,8
4343,172.0,2021-05-25,WI,Sports,Medium,Online,50.98112674914053,43.007158242218495,18
4526,4547.0,2020-08-24,CT,Electronics,High,Online,53.6817795356581,16.8400021590648,13
3765,1294.0,2021-08-31,WI,Sports,Low,Online,38.22444830776235,19.47304345587182,12
1393,3313.0,2020-04-13,MI,Home,Medium,Phone,45.1130801893407,24.12131161820201,5
820,1559.0,2020-05-28,IA,Electronics,Low,Online,66.28372612772431,27.58665848312215,4
3506,2601.0,2020-10-15,MA,Sports,Medium,Online,51.01753808279698,33.59102087895785,1
4906,2734.0,2021-12-30,NH,Clothing,Low,Online,79.70661174574829,70.71250192213688,22
3186,925.0,2020-10-11,CO,Clothing,Medium,Retail,27.392499252064525,24.33257099149285,4
3134,4848.0,2021-09-04,LA,Clothing,Medium,Online,36.47532720816208,19.500692500335035,8
24,3876.0,2022-03-05,MD,Electronics,Medium,Online,59.80084547653866,30.43596101540065,11
390,4698.0,2022-05-25,OH,Clothing,Low,Phone,52.85871552688919,17.22000744227534,14
3155,4475.0,2021-03-27,WV,Sports,High,Online,62.61317466058246,38.133488465456416,5
2675,4610.0,2022-02-22,ME,Sports,Medium,Phone,61.31679505613297,36.67336657999965,29
4172,443.0,2021-12-20,CT,Electronics,Medium,Online,33.34364611362215,22.642856246239216,2
160,980.0,2020-06-04,WY,Sports,Medium,Phone,47.10002674826824,27.55952113143833,10
665,227.0,2022-11-06,WI,Clothing,Medium,Phone,41.33790849087228,48.258320091412216,40
64,1627.0,2020-04-11,MD,Home,High,Online,65.07499016484094,39.546445891294304,8
736,1944.0,2021-10-09,MT,Sports,Medium,Phone,39.11316199710178,34.95423865443284,1
516,1357.0,2020-05-31,TN,Home,High,Retail,84.87019296359001,26.10805813980368,15
4226,4144.0,2020-08-24,ME,Clothing,Low,Phone,39.70779668645356,35.385853759892655,1
1431,1784.0,2020-04-16,NJ,Sports,Medium,Phone,43.871176419621776,8.768247054703268,7
3156,1405.0,2020-06-30,VA,Home,Medium,Online,54.283908112237626,32.11465854315885,28
3620,2714.0,2022-06-01,NH,Sports,Medium,Online,26.56347965265674,28.380996724168,5
